Histórico de rolagens para Dean

Sessão 1:
Rolagem 1: 6
Rolagem 2: 10
Rolagem 3: 10
Rolagem 4: 8
Rolagem 5: 5
Rolagem 6: 10
Rolagem 7: 6
Rolagem 8: 7
Rolagem 9: 19
Rolagem 10: 19
Rolagem 11: 9
Rolagem 12: 5
Rolagem 13: 16
Rolagem 14: 15
Rolagem 15: 4
Rolagem 16: 16
Rolagem 17: 17
Rolagem 18: 15
Rolagem 19: 14
Rolagem 20: 8
Rolagem 21: 6
Rolagem 22: 3
Rolagem 23: 15
Rolagem 24: 19
Rolagem 25: 13
Rolagem 26: 15
Rolagem 27: 15
Rolagem 28: 6
Rolagem 29: 3
Rolagem 30: 4
Rolagem 31: 18
Rolagem 32: 13
Rolagem 33: 12
Rolagem 34: 16
Rolagem 35: 3
Rolagem 36: 2
Rolagem 37: 10
Rolagem 38: 15
Rolagem 39: 6
Rolagem 40: 17
Rolagem 41: 6
Rolagem 42: 6
Rolagem 43: 3
Rolagem 44: 6
Rolagem 45: 14
Rolagem 46: 2
Rolagem 47: 11
Rolagem 48: 15
Rolagem 49: 7
Rolagem 50: 4
Rolagem 51: 19
Rolagem 52: 17
Rolagem 53: 17
Rolagem 54: 16
Rolagem 55: 20
Rolagem 56: 16
Rolagem 57: 17
Rolagem 58: 11
Rolagem 59: 19
Rolagem 60: 1
Rolagem 61: 1
Rolagem 62: 2
Rolagem 63: 3
Rolagem 64: 6
Rolagem 65: 12
Rolagem 66: 13
Rolagem 67: 1
Rolagem 68: 4
Rolagem 69: 1
Rolagem 70: 16
Rolagem 71: 1
Rolagem 72: 8
Rolagem 73: 10
Rolagem 74: 13
Rolagem 75: 7
Rolagem 76: 2
Rolagem 77: 12
Rolagem 78: 18
Rolagem 79: 4
Rolagem 80: 13
Rolagem 81: 3
Rolagem 82: 7
Rolagem 83: 2
Rolagem 84: 18
Rolagem 85: 17
Rolagem 86: 20
Rolagem 87: 1
Rolagem 88: 13
Rolagem 89: 20
Rolagem 90: 11
Rolagem 91: 18
Rolagem 92: 16
Rolagem 93: 17
Rolagem 94: 6
Rolagem 95: 1
Rolagem 96: 20
Rolagem 97: 8
Rolagem 98: 16
Rolagem 99: 9
Rolagem 100: 16

Sessão 2:
Rolagem 1: 2
Rolagem 2: 8
Rolagem 3: 5
Rolagem 4: 3
Rolagem 5: 20
Rolagem 6: 7
Rolagem 7: 13
Rolagem 8: 1
Rolagem 9: 13
Rolagem 10: 9
Rolagem 11: 8
Rolagem 12: 20
Rolagem 13: 20
Rolagem 14: 18
Rolagem 15: 19
Rolagem 16: 20
Rolagem 17: 13
Rolagem 18: 15
Rolagem 19: 18
Rolagem 20: 8
Rolagem 21: 16
Rolagem 22: 3
Rolagem 23: 20
Rolagem 24: 5
Rolagem 25: 3
Rolagem 26: 7
Rolagem 27: 16
Rolagem 28: 6
Rolagem 29: 16
Rolagem 30: 8
Rolagem 31: 8
Rolagem 32: 9
Rolagem 33: 19
Rolagem 34: 5
Rolagem 35: 6
Rolagem 36: 18
Rolagem 37: 13
Rolagem 38: 6
Rolagem 39: 9
Rolagem 40: 8
Rolagem 41: 19
Rolagem 42: 18
Rolagem 43: 9
Rolagem 44: 12
Rolagem 45: 12
Rolagem 46: 19
Rolagem 47: 2
Rolagem 48: 11
Rolagem 49: 10
Rolagem 50: 8

Sessão 3:
Rolagem 1: 8
Rolagem 2: 6
Rolagem 3: 9
Rolagem 4: 19
Rolagem 5: 15
Rolagem 6: 2
Rolagem 7: 9
Rolagem 8: 11
Rolagem 9: 20
Rolagem 10: 13
Rolagem 11: 13
Rolagem 12: 4
Rolagem 13: 12
Rolagem 14: 7
Rolagem 15: 17
Rolagem 16: 16
Rolagem 17: 8
Rolagem 18: 11
Rolagem 19: 14
Rolagem 20: 20
Rolagem 21: 16
Rolagem 22: 15
Rolagem 23: 9
Rolagem 24: 6
Rolagem 25: 5
Rolagem 26: 5
Rolagem 27: 2
Rolagem 28: 5
Rolagem 29: 12
Rolagem 30: 17
Rolagem 31: 20
Rolagem 32: 9
Rolagem 33: 13
Rolagem 34: 9
Rolagem 35: 16
