Histórico de rolagens para Imugi

Sessão 1:
Rolagem 1: 19
Rolagem 2: 15
Rolagem 3: 17
Rolagem 4: 14
Rolagem 5: 11
Rolagem 6: 12
Rolagem 7: 8
Rolagem 8: 11
Rolagem 9: 2
Rolagem 10: 5
Rolagem 11: 8
Rolagem 12: 15
Rolagem 13: 8
Rolagem 14: 1
Rolagem 15: 18
Rolagem 16: 3
Rolagem 17: 14
Rolagem 18: 16
Rolagem 19: 19
Rolagem 20: 17
Rolagem 21: 5
Rolagem 22: 6
Rolagem 23: 15
Rolagem 24: 11
Rolagem 25: 15
Rolagem 26: 12
Rolagem 27: 16
Rolagem 28: 15
Rolagem 29: 8
Rolagem 30: 17
Rolagem 31: 20
Rolagem 32: 16
Rolagem 33: 9
Rolagem 34: 4
Rolagem 35: 6
Rolagem 36: 4
Rolagem 37: 16
Rolagem 38: 4
Rolagem 39: 11
Rolagem 40: 10
Rolagem 41: 6
Rolagem 42: 15
Rolagem 43: 6
Rolagem 44: 10
Rolagem 45: 10
Rolagem 46: 15
Rolagem 47: 8
Rolagem 48: 4
Rolagem 49: 2
Rolagem 50: 13
Rolagem 51: 9
Rolagem 52: 9
Rolagem 53: 13
Rolagem 54: 18
Rolagem 55: 19
Rolagem 56: 16
Rolagem 57: 9
Rolagem 58: 20
Rolagem 59: 15
Rolagem 60: 7
Rolagem 61: 4
Rolagem 62: 15
Rolagem 63: 1
Rolagem 64: 2
Rolagem 65: 14
Rolagem 66: 3
Rolagem 67: 8
Rolagem 68: 11
Rolagem 69: 14
Rolagem 70: 2
Rolagem 71: 18
Rolagem 72: 17
Rolagem 73: 7
Rolagem 74: 8
Rolagem 75: 6
Rolagem 76: 5
Rolagem 77: 11
Rolagem 78: 1
Rolagem 79: 18
Rolagem 80: 13
Rolagem 81: 3
Rolagem 82: 9
Rolagem 83: 11
Rolagem 84: 6
Rolagem 85: 14
Rolagem 86: 11
Rolagem 87: 19
Rolagem 88: 6
Rolagem 89: 5
Rolagem 90: 9
Rolagem 91: 20
Rolagem 92: 16
Rolagem 93: 20
Rolagem 94: 1
Rolagem 95: 8
Rolagem 96: 16
Rolagem 97: 2
Rolagem 98: 9
Rolagem 99: 5
Rolagem 100: 16

Sessão 2:
Rolagem 1: 1
Rolagem 2: 19
Rolagem 3: 20
Rolagem 4: 18
Rolagem 5: 7
Rolagem 6: 6
Rolagem 7: 20
Rolagem 8: 13
Rolagem 9: 6
Rolagem 10: 9
Rolagem 11: 14
Rolagem 12: 1
Rolagem 13: 15
Rolagem 14: 8
Rolagem 15: 17
Rolagem 16: 14
Rolagem 17: 5
Rolagem 18: 19
Rolagem 19: 15
Rolagem 20: 1
Rolagem 21: 3
Rolagem 22: 8
Rolagem 23: 17
Rolagem 24: 8
Rolagem 25: 15
Rolagem 26: 17
Rolagem 27: 9
Rolagem 28: 14
Rolagem 29: 17
Rolagem 30: 15
Rolagem 31: 7
Rolagem 32: 1
Rolagem 33: 14
Rolagem 34: 3
Rolagem 35: 19
Rolagem 36: 7
Rolagem 37: 8
Rolagem 38: 17
Rolagem 39: 4
Rolagem 40: 19
Rolagem 41: 17
Rolagem 42: 9
Rolagem 43: 20
Rolagem 44: 12
Rolagem 45: 17
Rolagem 46: 2
Rolagem 47: 1
Rolagem 48: 1
Rolagem 49: 15
Rolagem 50: 5

Sessão 3:
Rolagem 1: 15
Rolagem 2: 12
Rolagem 3: 1
Rolagem 4: 17
Rolagem 5: 14
Rolagem 6: 15
Rolagem 7: 10
Rolagem 8: 4
Rolagem 9: 12
Rolagem 10: 16
Rolagem 11: 13
Rolagem 12: 4
Rolagem 13: 11
Rolagem 14: 5
Rolagem 15: 9
Rolagem 16: 1
Rolagem 17: 20
Rolagem 18: 5
Rolagem 19: 9
Rolagem 20: 16
Rolagem 21: 7
Rolagem 22: 19
Rolagem 23: 5
Rolagem 24: 2
Rolagem 25: 4
Rolagem 26: 17
Rolagem 27: 18
Rolagem 28: 6
Rolagem 29: 1
Rolagem 30: 15
Rolagem 31: 9
Rolagem 32: 13
Rolagem 33: 19
Rolagem 34: 3
Rolagem 35: 16
Rolagem 36: 2
Rolagem 37: 1
Rolagem 38: 17
Rolagem 39: 5
Rolagem 40: 7
Rolagem 41: 20
Rolagem 42: 9
Rolagem 43: 9
Rolagem 44: 4
Rolagem 45: 6
Rolagem 46: 17
Rolagem 47: 2
Rolagem 48: 14
Rolagem 49: 4
Rolagem 50: 19
Rolagem 51: 10
Rolagem 52: 10
Rolagem 53: 2
Rolagem 54: 8
Rolagem 55: 11
Rolagem 56: 18
Rolagem 57: 6
Rolagem 58: 15
Rolagem 59: 16
Rolagem 60: 16
Rolagem 61: 17
Rolagem 62: 18
Rolagem 63: 10
Rolagem 64: 8
Rolagem 65: 15
Rolagem 66: 8
Rolagem 67: 12
Rolagem 68: 18
Rolagem 69: 6
Rolagem 70: 9
Rolagem 71: 1
Rolagem 72: 1
Rolagem 73: 8
Rolagem 74: 16
Rolagem 75: 14
Rolagem 76: 4
Rolagem 77: 2
Rolagem 78: 20
Rolagem 79: 1
Rolagem 80: 15
Rolagem 81: 10
Rolagem 82: 11
Rolagem 83: 18
Rolagem 84: 3
Rolagem 85: 7
Rolagem 86: 4
Rolagem 87: 8
Rolagem 88: 6
Rolagem 89: 14
Rolagem 90: 1
Rolagem 91: 9
Rolagem 92: 6
Rolagem 93: 17
Rolagem 94: 19
Rolagem 95: 9
Rolagem 96: 15
Rolagem 97: 5
Rolagem 98: 20
Rolagem 99: 3
Rolagem 100: 9
Rolagem 101: 18
Rolagem 102: 14
Rolagem 103: 20
Rolagem 104: 13
Rolagem 105: 3
Rolagem 106: 16
Rolagem 107: 14
Rolagem 108: 18
Rolagem 109: 20
Rolagem 110: 15
Rolagem 111: 13
Rolagem 112: 1
Rolagem 113: 1
Rolagem 114: 7
Rolagem 115: 15
Rolagem 116: 1
Rolagem 117: 7
Rolagem 118: 17
Rolagem 119: 20
Rolagem 120: 16
Rolagem 121: 2
Rolagem 122: 2
Rolagem 123: 1
Rolagem 124: 17
Rolagem 125: 13
Rolagem 126: 5
Rolagem 127: 20
Rolagem 128: 20
Rolagem 129: 4
Rolagem 130: 12
Rolagem 131: 10
Rolagem 132: 19
Rolagem 133: 3
Rolagem 134: 6
Rolagem 135: 1
Rolagem 136: 7
Rolagem 137: 14
Rolagem 138: 6
Rolagem 139: 16
Rolagem 140: 7
Rolagem 141: 16
Rolagem 142: 20
Rolagem 143: 2
Rolagem 144: 4
Rolagem 145: 8
Rolagem 146: 12
Rolagem 147: 1
Rolagem 148: 20
Rolagem 149: 8
Rolagem 150: 18

Sessão 4:
Rolagem 1: 20
Rolagem 2: 19
