Histórico de rolagens para Jaeyk

Sessão 1:
Rolagem 1: 19
Rolagem 2: 7
Rolagem 3: 18
Rolagem 4: 19
Rolagem 5: 11
Rolagem 6: 14
Rolagem 7: 20
Rolagem 8: 1
Rolagem 9: 19
Rolagem 10: 7
Rolagem 11: 6
Rolagem 12: 7
Rolagem 13: 9
Rolagem 14: 9
Rolagem 15: 14
Rolagem 16: 19
Rolagem 17: 4
Rolagem 18: 17
Rolagem 19: 7
Rolagem 20: 12
Rolagem 21: 1
Rolagem 22: 13
Rolagem 23: 17
Rolagem 24: 14
Rolagem 25: 14
Rolagem 26: 18
Rolagem 27: 6
Rolagem 28: 20
Rolagem 29: 4
Rolagem 30: 1
Rolagem 31: 17
Rolagem 32: 16
Rolagem 33: 4
Rolagem 34: 16
Rolagem 35: 14
Rolagem 36: 14
Rolagem 37: 2
Rolagem 38: 1
Rolagem 39: 7
Rolagem 40: 10
Rolagem 41: 4
Rolagem 42: 17
Rolagem 43: 17
Rolagem 44: 20
Rolagem 45: 6
Rolagem 46: 5
Rolagem 47: 18
Rolagem 48: 17
Rolagem 49: 2
Rolagem 50: 19
Rolagem 51: 16
Rolagem 52: 3
Rolagem 53: 1
Rolagem 54: 5
Rolagem 55: 15
Rolagem 56: 7
Rolagem 57: 15
Rolagem 58: 20
Rolagem 59: 4
Rolagem 60: 14
Rolagem 61: 9
Rolagem 62: 3
Rolagem 63: 6
Rolagem 64: 15
Rolagem 65: 10
Rolagem 66: 1
Rolagem 67: 9
Rolagem 68: 17
Rolagem 69: 17
Rolagem 70: 6
Rolagem 71: 2
Rolagem 72: 17
Rolagem 73: 2
Rolagem 74: 11
Rolagem 75: 1
Rolagem 76: 16
Rolagem 77: 7
Rolagem 78: 14
Rolagem 79: 9
Rolagem 80: 16
Rolagem 81: 6
Rolagem 82: 19
Rolagem 83: 5
Rolagem 84: 3
Rolagem 85: 16
Rolagem 86: 13
Rolagem 87: 8
Rolagem 88: 7
Rolagem 89: 12
Rolagem 90: 17
Rolagem 91: 8
Rolagem 92: 9
Rolagem 93: 13
Rolagem 94: 6
Rolagem 95: 9
Rolagem 96: 1
Rolagem 97: 13
Rolagem 98: 16
Rolagem 99: 15
Rolagem 100: 3

Sessão 2:
Rolagem 1: 13
Rolagem 2: 5
Rolagem 3: 18
Rolagem 4: 4
Rolagem 5: 2
Rolagem 6: 7
Rolagem 7: 18
Rolagem 8: 16
Rolagem 9: 12
Rolagem 10: 8
Rolagem 11: 5
Rolagem 12: 4
Rolagem 13: 20
Rolagem 14: 18
Rolagem 15: 2
Rolagem 16: 8
Rolagem 17: 9
Rolagem 18: 6
Rolagem 19: 4
Rolagem 20: 5
Rolagem 21: 12
Rolagem 22: 2
Rolagem 23: 3
Rolagem 24: 10
Rolagem 25: 19
Rolagem 26: 5
Rolagem 27: 15
Rolagem 28: 16
Rolagem 29: 7
Rolagem 30: 11
Rolagem 31: 20
Rolagem 32: 18
Rolagem 33: 10
Rolagem 34: 7
Rolagem 35: 6
Rolagem 36: 16
Rolagem 37: 17
Rolagem 38: 4
Rolagem 39: 8
Rolagem 40: 4
Rolagem 41: 2
Rolagem 42: 19
Rolagem 43: 13
Rolagem 44: 17
Rolagem 45: 16
Rolagem 46: 9
Rolagem 47: 18
Rolagem 48: 6
Rolagem 49: 15
Rolagem 50: 16

Sessão 3:
Rolagem 1: 1
Rolagem 2: 15
Rolagem 3: 13
Rolagem 4: 10
Rolagem 5: 14
Rolagem 6: 15
Rolagem 7: 13
Rolagem 8: 20
Rolagem 9: 7
Rolagem 10: 9
Rolagem 11: 10
Rolagem 12: 15
Rolagem 13: 19
Rolagem 14: 17
Rolagem 15: 2
Rolagem 16: 20
Rolagem 17: 15
Rolagem 18: 4
Rolagem 19: 16
Rolagem 20: 11
Rolagem 21: 3
Rolagem 22: 14
Rolagem 23: 9
Rolagem 24: 2
Rolagem 25: 16
Rolagem 26: 13
Rolagem 27: 17
Rolagem 28: 12
Rolagem 29: 16
Rolagem 30: 4
Rolagem 31: 5
Rolagem 32: 17
Rolagem 33: 7
Rolagem 34: 11
Rolagem 35: 1
Rolagem 36: 15
Rolagem 37: 7
Rolagem 38: 15
Rolagem 39: 12
Rolagem 40: 10
Rolagem 41: 7
Rolagem 42: 3
Rolagem 43: 12
Rolagem 44: 19
Rolagem 45: 8
Rolagem 46: 11
Rolagem 47: 11
Rolagem 48: 11
Rolagem 49: 10
Rolagem 50: 12
Rolagem 51: 8
Rolagem 52: 1
Rolagem 53: 12
Rolagem 54: 3
Rolagem 55: 4
Rolagem 56: 5
Rolagem 57: 8
Rolagem 58: 9
Rolagem 59: 12
Rolagem 60: 15
Rolagem 61: 6
Rolagem 62: 18
Rolagem 63: 15
Rolagem 64: 9
Rolagem 65: 14
Rolagem 66: 7
Rolagem 67: 15
Rolagem 68: 1
Rolagem 69: 3
Rolagem 70: 5
Rolagem 71: 1
Rolagem 72: 14
Rolagem 73: 4
Rolagem 74: 17
Rolagem 75: 3
Rolagem 76: 11
Rolagem 77: 6
Rolagem 78: 13
Rolagem 79: 11
Rolagem 80: 11
Rolagem 81: 13
Rolagem 82: 2
Rolagem 83: 8
Rolagem 84: 8
Rolagem 85: 8
Rolagem 86: 13
Rolagem 87: 2
Rolagem 88: 16
Rolagem 89: 8
Rolagem 90: 17
Rolagem 91: 17
Rolagem 92: 6
Rolagem 93: 8
Rolagem 94: 2
Rolagem 95: 16
Rolagem 96: 15
Rolagem 97: 1
Rolagem 98: 18
Rolagem 99: 4
Rolagem 100: 8
Rolagem 101: 7
Rolagem 102: 1
Rolagem 103: 18
Rolagem 104: 20
Rolagem 105: 6
Rolagem 106: 2
Rolagem 107: 7
