Histórico de rolagens para Mestre

Sessão 1:
Rolagem 1: 10
Rolagem 2: 15
Rolagem 3: 14
Rolagem 4: 13
Rolagem 5: 12
Rolagem 6: 15
Rolagem 7: 16
Rolagem 8: 1
Rolagem 9: 20

Sessão 2:
Rolagem 1: 1
Rolagem 2: 20
Rolagem 3: 7
Rolagem 4: 8
Rolagem 5: 10
Rolagem 6: 20
Rolagem 7: 19

Sessão 3:
Rolagem 1: 5
Rolagem 2: 19
Rolagem 3: 20
Rolagem 4: 2
Rolagem 5: 15
Rolagem 6: 6
Rolagem 7: 9
Rolagem 8: 6
Rolagem 9: 5
Rolagem 10: 15
Rolagem 11: 10
Rolagem 12: 3
Rolagem 13: 12
Rolagem 14: 11
Rolagem 15: 6
Rolagem 16: 14
Rolagem 17: 7
Rolagem 18: 17
Rolagem 19: 9
Rolagem 20: 16
Rolagem 21: 6
Rolagem 22: 3
Rolagem 23: 9
Rolagem 24: 5
Rolagem 25: 1
Rolagem 26: 13
Rolagem 27: 15
Rolagem 28: 1
Rolagem 29: 14
Rolagem 30: 18
Rolagem 31: 15
Rolagem 32: 17
Rolagem 33: 19
Rolagem 34: 8
Rolagem 35: 9
Rolagem 36: 10
Rolagem 37: 9
Rolagem 38: 19
Rolagem 39: 5
Rolagem 40: 3
Rolagem 41: 12
Rolagem 42: 8
Rolagem 43: 8
Rolagem 44: 4
Rolagem 45: 13
Rolagem 46: 19
Rolagem 47: 2
Rolagem 48: 11
Rolagem 49: 5
Rolagem 50: 16
Rolagem 51: 14
Rolagem 52: 19
Rolagem 53: 2
Rolagem 54: 10
Rolagem 55: 15
Rolagem 56: 8
Rolagem 57: 5
Rolagem 58: 2
Rolagem 59: 2
Rolagem 60: 19
Rolagem 61: 10
Rolagem 62: 13
Rolagem 63: 19
Rolagem 64: 18
Rolagem 65: 1
Rolagem 66: 19
Rolagem 67: 14
Rolagem 68: 19
Rolagem 69: 17
Rolagem 70: 9
Rolagem 71: 11
Rolagem 72: 3
Rolagem 73: 3
Rolagem 74: 1
Rolagem 75: 14
Rolagem 76: 1
Rolagem 77: 5
Rolagem 78: 1
Rolagem 79: 12
Rolagem 80: 4
Rolagem 81: 3
Rolagem 82: 12
Rolagem 83: 8
Rolagem 84: 2
Rolagem 85: 4
Rolagem 86: 20
Rolagem 87: 4
Rolagem 88: 5
Rolagem 89: 6
Rolagem 90: 4
Rolagem 91: 17
Rolagem 92: 19
Rolagem 93: 15
Rolagem 94: 19
Rolagem 95: 7
Rolagem 96: 19
Rolagem 97: 17
Rolagem 98: 20
Rolagem 99: 8
Rolagem 100: 17

Sessão 4:
Rolagem 1: 17
Rolagem 2: 15
Rolagem 3: 1
Rolagem 4: 18
Rolagem 5: 5
Rolagem 6: 17
Rolagem 7: 1
Rolagem 8: 7
Rolagem 9: 5
Rolagem 10: 14
Rolagem 11: 16
Rolagem 12: 4
Rolagem 13: 13
Rolagem 14: 13
Rolagem 15: 19
Rolagem 16: 20
Rolagem 17: 2
Rolagem 18: 12
Rolagem 19: 2
Rolagem 20: 1
Rolagem 21: 5
Rolagem 22: 7
Rolagem 23: 12
Rolagem 24: 15
Rolagem 25: 1
Rolagem 26: 6
Rolagem 27: 7
Rolagem 28: 17
Rolagem 29: 1
Rolagem 30: 16
Rolagem 31: 17
Rolagem 32: 17
Rolagem 33: 5
Rolagem 34: 15
Rolagem 35: 16
Rolagem 36: 1
Rolagem 37: 9
Rolagem 38: 12
Rolagem 39: 11
Rolagem 40: 1
Rolagem 41: 11
Rolagem 42: 9
Rolagem 43: 9
Rolagem 44: 7
Rolagem 45: 18
Rolagem 46: 17
Rolagem 47: 4
Rolagem 48: 14
Rolagem 49: 3
Rolagem 50: 3

Sessão 5:
Rolagem 1: 5
Rolagem 2: 4
Rolagem 3: 10
Rolagem 4: 20
Rolagem 5: 1
Rolagem 6: 4
Rolagem 7: 15
Rolagem 8: 6
Rolagem 9: 11
Rolagem 10: 20
Rolagem 11: 14
Rolagem 12: 4
Rolagem 13: 11
Rolagem 14: 10
Rolagem 15: 8
Rolagem 16: 3
Rolagem 17: 11
Rolagem 18: 2
Rolagem 19: 15
Rolagem 20: 7
Rolagem 21: 10
Rolagem 22: 10
Rolagem 23: 16
Rolagem 24: 13
Rolagem 25: 9
Rolagem 26: 7
Rolagem 27: 16
Rolagem 28: 10
Rolagem 29: 7
Rolagem 30: 2
Rolagem 31: 18
Rolagem 32: 15
Rolagem 33: 4
Rolagem 34: 20
Rolagem 35: 17
Rolagem 36: 16
Rolagem 37: 12
Rolagem 38: 5
Rolagem 39: 14
Rolagem 40: 17
Rolagem 41: 17
Rolagem 42: 11
Rolagem 43: 20
Rolagem 44: 7
Rolagem 45: 11
Rolagem 46: 5
Rolagem 47: 2
Rolagem 48: 5
Rolagem 49: 12
Rolagem 50: 8
Rolagem 51: 11
Rolagem 52: 18
Rolagem 53: 14
Rolagem 54: 18
Rolagem 55: 18
Rolagem 56: 6
Rolagem 57: 4
Rolagem 58: 17
Rolagem 59: 15
Rolagem 60: 20
Rolagem 61: 1
Rolagem 62: 9
Rolagem 63: 14
Rolagem 64: 11
Rolagem 65: 13
Rolagem 66: 7
Rolagem 67: 15
Rolagem 68: 5
Rolagem 69: 3
Rolagem 70: 6
Rolagem 71: 9
Rolagem 72: 2
Rolagem 73: 8
Rolagem 74: 13
Rolagem 75: 10
Rolagem 76: 2
Rolagem 77: 11
Rolagem 78: 14
Rolagem 79: 20
Rolagem 80: 2
Rolagem 81: 9
Rolagem 82: 6
Rolagem 83: 3
Rolagem 84: 6
Rolagem 85: 16
Rolagem 86: 7
Rolagem 87: 18
Rolagem 88: 17
Rolagem 89: 15
Rolagem 90: 18
Rolagem 91: 11
Rolagem 92: 14
Rolagem 93: 13
Rolagem 94: 14
Rolagem 95: 19
Rolagem 96: 9
Rolagem 97: 6
Rolagem 98: 8
Rolagem 99: 10
Rolagem 100: 13
Rolagem 101: 7
Rolagem 102: 16
Rolagem 103: 4
Rolagem 104: 8
Rolagem 105: 7
Rolagem 106: 2
Rolagem 107: 2
Rolagem 108: 15
Rolagem 109: 4
Rolagem 110: 6
Rolagem 111: 6
Rolagem 112: 17
Rolagem 113: 8
Rolagem 114: 19
Rolagem 115: 4
Rolagem 116: 11
Rolagem 117: 18
Rolagem 118: 11
Rolagem 119: 3
Rolagem 120: 6
Rolagem 121: 18
Rolagem 122: 10
Rolagem 123: 1
Rolagem 124: 13
Rolagem 125: 9
Rolagem 126: 10
Rolagem 127: 18
Rolagem 128: 15
Rolagem 129: 15
Rolagem 130: 17
Rolagem 131: 5
Rolagem 132: 2
Rolagem 133: 4
Rolagem 134: 3
Rolagem 135: 6
Rolagem 136: 16
Rolagem 137: 5
Rolagem 138: 2
Rolagem 139: 20
Rolagem 140: 11
Rolagem 141: 14
Rolagem 142: 17
Rolagem 143: 5
Rolagem 144: 8
Rolagem 145: 13
Rolagem 146: 3
Rolagem 147: 11
Rolagem 148: 1
Rolagem 149: 19
