Histórico de rolagens para Nicolle

Sessão 1:
Rolagem 1: 13
Rolagem 2: 3
Rolagem 3: 20
Rolagem 4: 12
Rolagem 5: 12
Rolagem 6: 13
Rolagem 7: 15
Rolagem 8: 16
Rolagem 9: 17
Rolagem 10: 5
Rolagem 11: 5
Rolagem 12: 18
Rolagem 13: 5
Rolagem 14: 8
Rolagem 15: 11
Rolagem 16: 16
Rolagem 17: 2
Rolagem 18: 19
Rolagem 19: 16
Rolagem 20: 3
Rolagem 21: 10
Rolagem 22: 13
Rolagem 23: 19
Rolagem 24: 6
Rolagem 25: 4
Rolagem 26: 9
Rolagem 27: 6
Rolagem 28: 20
Rolagem 29: 10
Rolagem 30: 13
Rolagem 31: 17
Rolagem 32: 14
Rolagem 33: 19
Rolagem 34: 16
Rolagem 35: 11
Rolagem 36: 5
Rolagem 37: 13
Rolagem 38: 19
Rolagem 39: 19
Rolagem 40: 4
Rolagem 41: 10
Rolagem 42: 10
Rolagem 43: 20
Rolagem 44: 2
Rolagem 45: 3
Rolagem 46: 1
Rolagem 47: 13
Rolagem 48: 16
Rolagem 49: 12
Rolagem 50: 1
Rolagem 51: 12
Rolagem 52: 4
Rolagem 53: 6
Rolagem 54: 4
Rolagem 55: 13
Rolagem 56: 10
Rolagem 57: 12
Rolagem 58: 12
Rolagem 59: 2
Rolagem 60: 8
Rolagem 61: 7
Rolagem 62: 5
Rolagem 63: 8
Rolagem 64: 18
Rolagem 65: 8
Rolagem 66: 12
Rolagem 67: 17
Rolagem 68: 15
Rolagem 69: 2
Rolagem 70: 18
Rolagem 71: 8
Rolagem 72: 20
Rolagem 73: 6
Rolagem 74: 9
Rolagem 75: 7
Rolagem 76: 17
Rolagem 77: 16
Rolagem 78: 19
Rolagem 79: 9
Rolagem 80: 3
Rolagem 81: 4
Rolagem 82: 8
Rolagem 83: 18
Rolagem 84: 17
Rolagem 85: 18
Rolagem 86: 13
Rolagem 87: 11
Rolagem 88: 11
Rolagem 89: 5
Rolagem 90: 12
Rolagem 91: 2
Rolagem 92: 17
Rolagem 93: 4
Rolagem 94: 15
Rolagem 95: 5
Rolagem 96: 19
Rolagem 97: 9
Rolagem 98: 2
Rolagem 99: 8
Rolagem 100: 18

Sessão 2:
Rolagem 1: 10
Rolagem 2: 17
Rolagem 3: 2
Rolagem 4: 3
Rolagem 5: 4
Rolagem 6: 11
Rolagem 7: 19
Rolagem 8: 17
Rolagem 9: 12
Rolagem 10: 18
Rolagem 11: 12
Rolagem 12: 5
Rolagem 13: 11
Rolagem 14: 5
Rolagem 15: 20
Rolagem 16: 20
Rolagem 17: 11
Rolagem 18: 8
Rolagem 19: 18
Rolagem 20: 11
Rolagem 21: 8
Rolagem 22: 8
Rolagem 23: 3
Rolagem 24: 5
Rolagem 25: 19
Rolagem 26: 3
Rolagem 27: 13
Rolagem 28: 15
Rolagem 29: 2
Rolagem 30: 16
Rolagem 31: 18
Rolagem 32: 13
Rolagem 33: 15
Rolagem 34: 1
Rolagem 35: 11
Rolagem 36: 15
Rolagem 37: 4
Rolagem 38: 8
Rolagem 39: 18
Rolagem 40: 17
Rolagem 41: 16
Rolagem 42: 17
Rolagem 43: 8
Rolagem 44: 2
Rolagem 45: 3
Rolagem 46: 14
Rolagem 47: 3
Rolagem 48: 3
Rolagem 49: 1
Rolagem 50: 10

Sessão 3:
Rolagem 1: 16
Rolagem 2: 19
Rolagem 3: 10
Rolagem 4: 7
Rolagem 5: 10
Rolagem 6: 10
Rolagem 7: 19
Rolagem 8: 1
Rolagem 9: 7
Rolagem 10: 10
Rolagem 11: 8
Rolagem 12: 3
Rolagem 13: 2
Rolagem 14: 14
Rolagem 15: 4
Rolagem 16: 13
Rolagem 17: 1
Rolagem 18: 2
Rolagem 19: 3
Rolagem 20: 9
Rolagem 21: 16
Rolagem 22: 9
Rolagem 23: 20
Rolagem 24: 4
Rolagem 25: 1
Rolagem 26: 15
Rolagem 27: 5
Rolagem 28: 9
Rolagem 29: 5
Rolagem 30: 16
Rolagem 31: 17
Rolagem 32: 4
Rolagem 33: 16
Rolagem 34: 19
Rolagem 35: 4
Rolagem 36: 4
Rolagem 37: 9
Rolagem 38: 4
Rolagem 39: 17
Rolagem 40: 15
Rolagem 41: 17
Rolagem 42: 19
Rolagem 43: 9
Rolagem 44: 6
Rolagem 45: 7
Rolagem 46: 9
Rolagem 47: 18
Rolagem 48: 7
Rolagem 49: 17
Rolagem 50: 13
Rolagem 51: 11
Rolagem 52: 13
Rolagem 53: 3
Rolagem 54: 16
Rolagem 55: 19
Rolagem 56: 12
Rolagem 57: 7
Rolagem 58: 6
Rolagem 59: 1
Rolagem 60: 12
Rolagem 61: 17
Rolagem 62: 10
Rolagem 63: 6
Rolagem 64: 11
Rolagem 65: 9
Rolagem 66: 5
Rolagem 67: 9
Rolagem 68: 14
Rolagem 69: 7
Rolagem 70: 18
Rolagem 71: 11
Rolagem 72: 13
Rolagem 73: 19
Rolagem 74: 3
Rolagem 75: 17
Rolagem 76: 11
Rolagem 77: 19
Rolagem 78: 14
Rolagem 79: 7
Rolagem 80: 9
Rolagem 81: 20
Rolagem 82: 19
Rolagem 83: 14
Rolagem 84: 14
Rolagem 85: 7
Rolagem 86: 20
Rolagem 87: 13
Rolagem 88: 5
Rolagem 89: 6
Rolagem 90: 10
Rolagem 91: 15
Rolagem 92: 9
Rolagem 93: 6
Rolagem 94: 17
Rolagem 95: 6
Rolagem 96: 18
Rolagem 97: 3
Rolagem 98: 19
Rolagem 99: 14
Rolagem 100: 14
Rolagem 101: 5
Rolagem 102: 8
Rolagem 103: 1
Rolagem 104: 3
Rolagem 105: 13
Rolagem 106: 11
Rolagem 107: 10
Rolagem 108: 3
Rolagem 109: 7
Rolagem 110: 3
Rolagem 111: 7
Rolagem 112: 11
Rolagem 113: 5
Rolagem 114: 12
Rolagem 115: 6
Rolagem 116: 12
Rolagem 117: 19
Rolagem 118: 5
Rolagem 119: 4
Rolagem 120: 18
Rolagem 121: 16
Rolagem 122: 3
Rolagem 123: 17
Rolagem 124: 1
Rolagem 125: 10
Rolagem 126: 3
Rolagem 127: 9
Rolagem 128: 6
Rolagem 129: 15
Rolagem 130: 4
Rolagem 131: 14
Rolagem 132: 14
Rolagem 133: 11
Rolagem 134: 20
Rolagem 135: 19
Rolagem 136: 20
Rolagem 137: 20
Rolagem 138: 18
Rolagem 139: 14
Rolagem 140: 10
Rolagem 141: 17
Rolagem 142: 14
Rolagem 143: 14
Rolagem 144: 1
Rolagem 145: 9
Rolagem 146: 16
Rolagem 147: 12
Rolagem 148: 16
Rolagem 149: 14
Rolagem 150: 8

Sessão 4:
Rolagem 1: 2
Rolagem 2: 14
Rolagem 3: 6
Rolagem 4: 7
Rolagem 5: 13
Rolagem 6: 11
Rolagem 7: 20
Rolagem 8: 17
Rolagem 9: 14
Rolagem 10: 17
Rolagem 11: 17
Rolagem 12: 4
