Histórico de rolagens para Riley

Sessão 1:
Rolagem 1: 3
Rolagem 2: 9
Rolagem 3: 4
Rolagem 4: 4
Rolagem 5: 8
Rolagem 6: 1
Rolagem 7: 16
Rolagem 8: 12
Rolagem 9: 13
Rolagem 10: 4
Rolagem 11: 7
Rolagem 12: 7
Rolagem 13: 14
Rolagem 14: 18
Rolagem 15: 9
Rolagem 16: 19
Rolagem 17: 7
Rolagem 18: 11
Rolagem 19: 18
Rolagem 20: 9
Rolagem 21: 5
Rolagem 22: 7
Rolagem 23: 20
Rolagem 24: 14
Rolagem 25: 16
Rolagem 26: 10
Rolagem 27: 7
Rolagem 28: 16
Rolagem 29: 10
Rolagem 30: 14
Rolagem 31: 2
Rolagem 32: 17
Rolagem 33: 7
Rolagem 34: 19
Rolagem 35: 12
Rolagem 36: 4
Rolagem 37: 15
Rolagem 38: 12
Rolagem 39: 7
Rolagem 40: 9
Rolagem 41: 15
Rolagem 42: 2
Rolagem 43: 10
Rolagem 44: 3
Rolagem 45: 5
Rolagem 46: 6
Rolagem 47: 6
Rolagem 48: 16
Rolagem 49: 19
Rolagem 50: 6
Rolagem 51: 14
Rolagem 52: 4
Rolagem 53: 16
Rolagem 54: 5
Rolagem 55: 18
Rolagem 56: 13
Rolagem 57: 2
Rolagem 58: 18
Rolagem 59: 5
Rolagem 60: 2
Rolagem 61: 14
Rolagem 62: 14
Rolagem 63: 8
Rolagem 64: 8
Rolagem 65: 8
Rolagem 66: 14
Rolagem 67: 4
Rolagem 68: 18
Rolagem 69: 15
Rolagem 70: 14
Rolagem 71: 6
Rolagem 72: 1
Rolagem 73: 6
Rolagem 74: 19
Rolagem 75: 14
Rolagem 76: 2
Rolagem 77: 20
Rolagem 78: 3
Rolagem 79: 8
Rolagem 80: 5
Rolagem 81: 2
Rolagem 82: 18
Rolagem 83: 2
Rolagem 84: 5
Rolagem 85: 9
Rolagem 86: 8
Rolagem 87: 19
Rolagem 88: 2
Rolagem 89: 12
Rolagem 90: 15
Rolagem 91: 7
Rolagem 92: 7
Rolagem 93: 2
Rolagem 94: 4
Rolagem 95: 2
Rolagem 96: 5
Rolagem 97: 14
Rolagem 98: 11
Rolagem 99: 1
Rolagem 100: 1

Sessão 2:
Rolagem 1: 5
Rolagem 2: 15
Rolagem 3: 2
Rolagem 4: 16
Rolagem 5: 20
Rolagem 6: 10
Rolagem 7: 16
Rolagem 8: 12
Rolagem 9: 2
Rolagem 10: 16
Rolagem 11: 11
Rolagem 12: 20
Rolagem 13: 2
Rolagem 14: 15
Rolagem 15: 16
Rolagem 16: 5
Rolagem 17: 18
Rolagem 18: 14
Rolagem 19: 17
Rolagem 20: 5
Rolagem 21: 13
Rolagem 22: 15
Rolagem 23: 10
Rolagem 24: 19
Rolagem 25: 18
Rolagem 26: 16
Rolagem 27: 6
Rolagem 28: 3
Rolagem 29: 19
Rolagem 30: 7
Rolagem 31: 9
Rolagem 32: 18
Rolagem 33: 8
Rolagem 34: 3
Rolagem 35: 15
Rolagem 36: 8
Rolagem 37: 12
