Histórico de rolagens para Thorne

Sessão 1:
Rolagem 1: 2
Rolagem 2: 18
Rolagem 3: 2
Rolagem 4: 15
Rolagem 5: 15
Rolagem 6: 9
Rolagem 7: 4
Rolagem 8: 6
Rolagem 9: 3
Rolagem 10: 2
Rolagem 11: 7
Rolagem 12: 2
Rolagem 13: 5
Rolagem 14: 1
Rolagem 15: 10
Rolagem 16: 7
Rolagem 17: 18
Rolagem 18: 11
Rolagem 19: 4
Rolagem 20: 5
Rolagem 21: 5
Rolagem 22: 19
Rolagem 23: 5
Rolagem 24: 20
Rolagem 25: 4
Rolagem 26: 13
Rolagem 27: 7
Rolagem 28: 9
Rolagem 29: 20
Rolagem 30: 16
Rolagem 31: 9
Rolagem 32: 5
Rolagem 33: 11
Rolagem 34: 4
Rolagem 35: 19
Rolagem 36: 10
Rolagem 37: 15
Rolagem 38: 12
Rolagem 39: 7
Rolagem 40: 1
Rolagem 41: 7
Rolagem 42: 13
Rolagem 43: 20
Rolagem 44: 8
Rolagem 45: 17
Rolagem 46: 9
Rolagem 47: 9
Rolagem 48: 2
Rolagem 49: 15
Rolagem 50: 1
Rolagem 51: 3
Rolagem 52: 11
Rolagem 53: 5
Rolagem 54: 17
Rolagem 55: 16
Rolagem 56: 5
Rolagem 57: 14
Rolagem 58: 12
Rolagem 59: 19
Rolagem 60: 9
Rolagem 61: 2
Rolagem 62: 19
Rolagem 63: 17
Rolagem 64: 12
Rolagem 65: 11
Rolagem 66: 10
Rolagem 67: 15
Rolagem 68: 15
Rolagem 69: 12
Rolagem 70: 10
Rolagem 71: 7
Rolagem 72: 15
Rolagem 73: 13
Rolagem 74: 1
Rolagem 75: 13
Rolagem 76: 5
Rolagem 77: 14
Rolagem 78: 4
Rolagem 79: 12
Rolagem 80: 12
Rolagem 81: 17
Rolagem 82: 18
Rolagem 83: 1
Rolagem 84: 20
Rolagem 85: 4
Rolagem 86: 11
Rolagem 87: 3
Rolagem 88: 9
Rolagem 89: 5
Rolagem 90: 12
Rolagem 91: 4
Rolagem 92: 12
Rolagem 93: 8
Rolagem 94: 19
Rolagem 95: 9
Rolagem 96: 4
Rolagem 97: 15
Rolagem 98: 10
Rolagem 99: 6
Rolagem 100: 8

Sessão 2:
Rolagem 1: 14
Rolagem 2: 10
Rolagem 3: 5
Rolagem 4: 17
Rolagem 5: 16
Rolagem 6: 2
Rolagem 7: 10
Rolagem 8: 11
Rolagem 9: 3
Rolagem 10: 1
Rolagem 11: 9
Rolagem 12: 18
Rolagem 13: 20
Rolagem 14: 14
Rolagem 15: 3
Rolagem 16: 12
Rolagem 17: 14
Rolagem 18: 11
Rolagem 19: 12
Rolagem 20: 8
Rolagem 21: 6
Rolagem 22: 16
Rolagem 23: 17
Rolagem 24: 11
Rolagem 25: 16
Rolagem 26: 16
Rolagem 27: 18
Rolagem 28: 16
Rolagem 29: 1
Rolagem 30: 12
Rolagem 31: 17
Rolagem 32: 13
Rolagem 33: 10
Rolagem 34: 17
Rolagem 35: 5
Rolagem 36: 15
Rolagem 37: 18
Rolagem 38: 20
Rolagem 39: 10
Rolagem 40: 16
Rolagem 41: 19
Rolagem 42: 11
Rolagem 43: 16
Rolagem 44: 13
Rolagem 45: 6
Rolagem 46: 6
Rolagem 47: 9
Rolagem 48: 12
Rolagem 49: 9
Rolagem 50: 10

Sessão 3:
Rolagem 1: 16
Rolagem 2: 12
Rolagem 3: 2
Rolagem 4: 17
Rolagem 5: 6
Rolagem 6: 5
Rolagem 7: 14
Rolagem 8: 12
Rolagem 9: 1
Rolagem 10: 2
Rolagem 11: 3
Rolagem 12: 5
Rolagem 13: 14
Rolagem 14: 3
Rolagem 15: 11
Rolagem 16: 2
Rolagem 17: 18
Rolagem 18: 5
Rolagem 19: 6
Rolagem 20: 5
Rolagem 21: 13
Rolagem 22: 18
Rolagem 23: 11
Rolagem 24: 5
Rolagem 25: 5
Rolagem 26: 16
Rolagem 27: 2
Rolagem 28: 4
Rolagem 29: 6
Rolagem 30: 6
Rolagem 31: 13
Rolagem 32: 18
Rolagem 33: 4
Rolagem 34: 17
Rolagem 35: 17
Rolagem 36: 10
Rolagem 37: 16
Rolagem 38: 6
Rolagem 39: 7
Rolagem 40: 15
Rolagem 41: 12
Rolagem 42: 14
Rolagem 43: 17
Rolagem 44: 11
Rolagem 45: 7
Rolagem 46: 9
Rolagem 47: 11
Rolagem 48: 13
Rolagem 49: 12
Rolagem 50: 13
Rolagem 51: 3
Rolagem 52: 15
Rolagem 53: 11
Rolagem 54: 5
Rolagem 55: 20
Rolagem 56: 15
Rolagem 57: 19
Rolagem 58: 2
Rolagem 59: 15
Rolagem 60: 3
Rolagem 61: 20
Rolagem 62: 6
Rolagem 63: 9
Rolagem 64: 15
Rolagem 65: 15
Rolagem 66: 13
Rolagem 67: 18
Rolagem 68: 18
Rolagem 69: 11
Rolagem 70: 3
Rolagem 71: 1
Rolagem 72: 2
Rolagem 73: 5
Rolagem 74: 6
Rolagem 75: 4
Rolagem 76: 11
Rolagem 77: 20
Rolagem 78: 14
Rolagem 79: 17
Rolagem 80: 4
Rolagem 81: 6
Rolagem 82: 8
Rolagem 83: 19
Rolagem 84: 3
Rolagem 85: 7
Rolagem 86: 2
Rolagem 87: 10
Rolagem 88: 10
Rolagem 89: 7
Rolagem 90: 1
Rolagem 91: 5
Rolagem 92: 14
Rolagem 93: 4
Rolagem 94: 20
Rolagem 95: 16
Rolagem 96: 9
Rolagem 97: 11
Rolagem 98: 5
Rolagem 99: 12
Rolagem 100: 4
Rolagem 101: 7
Rolagem 102: 3
Rolagem 103: 3
Rolagem 104: 1
Rolagem 105: 4
Rolagem 106: 20
Rolagem 107: 19
Rolagem 108: 3
Rolagem 109: 4
Rolagem 110: 7
Rolagem 111: 1
Rolagem 112: 3
Rolagem 113: 9
Rolagem 114: 14
Rolagem 115: 19
Rolagem 116: 11
Rolagem 117: 15
Rolagem 118: 16
Rolagem 119: 5
Rolagem 120: 17
Rolagem 121: 12
Rolagem 122: 15
Rolagem 123: 18
Rolagem 124: 2
Rolagem 125: 4
Rolagem 126: 5
Rolagem 127: 3
Rolagem 128: 19
Rolagem 129: 1
Rolagem 130: 14
Rolagem 131: 1
Rolagem 132: 10
Rolagem 133: 16
Rolagem 134: 9
Rolagem 135: 12
Rolagem 136: 9
Rolagem 137: 15
Rolagem 138: 7
Rolagem 139: 14
Rolagem 140: 3
Rolagem 141: 7
Rolagem 142: 1
Rolagem 143: 7
Rolagem 144: 20
Rolagem 145: 2
Rolagem 146: 6
Rolagem 147: 11
Rolagem 148: 1
Rolagem 149: 9
Rolagem 150: 5

Sessão 4:
Rolagem 1: 13
Rolagem 2: 18
Rolagem 3: 6
Rolagem 4: 15
Rolagem 5: 3
Rolagem 6: 12
Rolagem 7: 13
Rolagem 8: 7
Rolagem 9: 10
Rolagem 10: 11
Rolagem 11: 6
Rolagem 12: 8
Rolagem 13: 15
Rolagem 14: 15
Rolagem 15: 12
Rolagem 16: 12
Rolagem 17: 8
Rolagem 18: 17
Rolagem 19: 7
Rolagem 20: 13
Rolagem 21: 20
Rolagem 22: 11
Rolagem 23: 17
Rolagem 24: 11
Rolagem 25: 15
Rolagem 26: 1
Rolagem 27: 4
Rolagem 28: 19
Rolagem 29: 2
Rolagem 30: 18
Rolagem 31: 4
Rolagem 32: 15
Rolagem 33: 2
Rolagem 34: 20
Rolagem 35: 9
Rolagem 36: 7
Rolagem 37: 5
Rolagem 38: 19
Rolagem 39: 5
Rolagem 40: 20

